date,open,high,low,close,volume,amount,outstanding_share,turnover
2025-06-11,8.08,8.32,8.08,8.25,6031887.0,49579562.0,346448044.0,0.017410653933436552
2025-06-12,8.24,8.3,8.1,8.18,4862200.0,39630552.0,346448044.0,0.014034427626902693
2025-06-13,8.13,8.17,7.87,7.94,7258100.0,57929396.0,346448044.0,0.02095003890395756
2025-06-16,7.93,8.06,7.84,7.86,4490951.0,35655636.0,346448044.0,0.01296284126228174
2025-06-17,7.89,7.99,7.84,7.93,3756000.0,29713008.0,346448044.0,0.010841452463215523
2025-06-18,7.86,7.95,7.77,7.86,4067500.0,31857288.0,346448044.0,0.011740577181610527
2025-06-19,7.84,7.93,7.48,7.55,6738300.0,51584560.0,346448044.0,0.0194496696306936
2025-06-20,7.55,7.62,7.36,7.56,6598450.0,49498028.0,346448044.0,0.0190460015990161
2025-06-23,7.56,7.77,7.5,7.75,4729971.0,36262399.0,346448044.0,0.01365275712164217
2025-06-24,7.79,7.95,7.77,7.81,4939852.0,38761417.0,346448044.0,0.014258565131341888
2025-06-25,7.84,7.9,7.66,7.78,5422902.0,42199141.0,346448044.0,0.015652857892885088
2025-06-26,7.79,7.86,7.67,7.69,5538961.0,42798138.0,346448044.0,0.015987854732988478
2025-06-27,7.7,7.75,7.62,7.67,3891800.0,29861239.0,346448044.0,0.011233430430336042
2025-06-30,7.74,7.8,7.55,7.61,7453016.0,56892650.0,346448044.0,0.021512651403510306
2025-07-01,7.63,7.68,7.49,7.55,5764993.0,43531860.0,346448044.0,0.01664028156556716
2025-07-02,7.56,7.62,7.5,7.55,3327500.0,25156946.0,346448044.0,0.00960461476872994
2025-07-03,7.55,7.57,7.41,7.48,6479566.0,48476630.0,346448044.0,0.018702850578079754
2025-07-04,7.47,7.47,7.32,7.35,6389362.0,47089369.0,346448044.0,0.018442482532820995
2025-07-07,7.39,7.46,7.16,7.23,8870550.0,64840230.0,346448044.0,0.025604272137267427
2025-07-08,7.25,7.32,7.18,7.28,6967750.0,50574664.0,346448044.0,0.020111962300471235
